#{"t_start": 1630088085.8697362, "env_id": null}
r,l,t
-104015.144293,300,368.113944
-60842.830797,300,368.527007
-190468.293928,300,368.926443
-79051.846673,300,369.325281
-497789.90982,300,369.725389
-136452.604594,300,370.142455
-662947.294472,300,370.541165
-63142.175952,300,372.645911
-207079.440892,300,373.165132
-147915.58562,300,373.579541
-19925.003348,300,373.976592
-64360.431749,300,374.394237
-798084.653243,300,374.790495
-29008.462882,300,376.849857
-234990.595665,300,377.251011
-35380.976643,300,377.666163
-80397.294846,300,378.067334
-24186.744686,300,378.473603
-25423.847977,300,378.890028
-91019.238519,300,379.289821
-87051.731304,300,381.302243
-93223.354768,300,381.716228
-48889.743502,300,382.130238
-35946.987972,300,382.543288
-231692.929836,300,382.960223
-638071.959174,300,383.380728
-785654.441273,300,383.79483
-142543.051474,300,385.813693
-128283.283082,300,386.226311
-134842.466203,300,386.631281
-161745.954307,300,387.040957
-103698.064194,300,387.455798
-513674.776647,300,387.859445
-134281.424746,300,388.256398
-113324.655024,300,390.274444
-97156.767514,300,390.691586
-183780.327075,300,391.092159
-1066051.612564,300,391.491931
-240231.169654,300,391.895438
-671468.43495,300,392.294817
-227987.53532,300,392.693692
-273538.522417,300,394.695454
-16891.705018,300,395.09951
-99653.473684,300,395.504958
-46107.337636,300,395.897628
-26456.710036,300,396.299255
-856035.739627,300,396.697755
-84545.360823,300,398.69125
-87751.887987,300,399.105084
-143816.72951,300,399.50813
-78834.47921,300,399.906979
-58761.757786,300,400.31496
-83079.461568,300,400.723867
-30345.532396,300,401.125569
-372284.138469,300,403.138048
-655572.900327,300,403.547749
-277676.009182,300,403.957515
-49122.499125,300,404.364179
-19717.922983,300,404.773332
-218658.111768,300,405.16692
-486712.59357,300,405.571198
-38167.559467,300,407.565396
-356763.472245,300,407.965455
-96993.606337,300,408.364453
-74828.952694,300,408.764191
-273586.906894,300,409.177621
-167314.898799,300,409.579541
-182448.252273,300,409.979252
-91900.165539,300,412.164147
-67450.594588,300,412.55929
-129846.887676,300,412.947708
-242386.551791,300,413.355534
-128281.533716,300,413.755129
-134548.898859,300,414.17091
-50171.69389,300,414.576361
-90325.018631,300,416.659033
-72667.882597,300,417.065981
-31145.282351,300,417.466521
-285930.881292,300,417.872104
-84075.363181,300,418.273596
-144670.81588,300,418.673513
-92477.978435,300,419.090294
-356946.186024,300,421.078159
-166456.271872,300,421.558372
-68723.144578,300,422.059678
-92247.785111,300,422.479463
-59085.789754,300,422.87844
-20077.47016,300,423.277741
-80932.213378,300,425.294883
-189314.74465,300,425.790711
-148453.879282,300,426.180991
-129726.283376,300,426.590676
-267693.137857,300,426.980186
-34843.331302,300,427.373566
-323900.855537,300,427.764562
-78929.408402,300,429.789597
-462371.854819,300,430.185677
-45449.184921,300,430.59199
-279329.62981,300,431.137258
-277225.658923,300,431.541917
-257892.193116,300,431.937475
-358374.355761,300,432.338773
-156858.278564,300,434.437264
-54863.759043,300,435.046535
-360062.168589,300,435.44472
-73652.925521,300,435.845301
-185741.866013,300,436.239346
-231827.93849,300,436.630897
-570386.036997,300,437.036836
-29656.837059,300,439.015139
-149445.0626,300,439.420523
-84733.162347,300,439.836815
-100793.973838,300,440.241776
-180500.807231,300,440.779051
-41934.716886,300,441.182583
-130146.384016,300,441.598822
-265252.461422,300,443.621821
-202893.763502,300,444.029098
-37405.030928,300,444.470013
-98491.748269,300,444.871495
-193180.475122,300,445.276683
-164175.849397,300,445.705527
-26629.452777,300,446.110421
-594688.892437,300,448.106385
-95613.111516,300,448.510389
-165867.356779,300,448.930294
-20416.034194,300,449.329528
-8555.092652,300,449.740629
-94294.794573,300,450.155829
-89048.934951,300,452.181753
-220022.69847,300,452.581849
-233822.482251,300,452.98917
-197316.382848,300,453.389099
-304839.295125,300,453.791088
-475794.401854,300,454.190193
-74859.159747,300,454.594298
-22778.179552,300,456.707269
-85562.450456,300,457.106838
-550758.53801,300,457.523651
-51441.255861,300,457.92679
-58591.558676,300,458.328953
-181855.839534,300,458.743086
-56451.886716,300,459.34133
-73638.566618,300,461.410651
-145656.293391,300,461.812639
-38218.301673,300,462.223991
-22463.032878,300,462.637128
-54761.397094,300,463.047532
-49564.294701,300,463.476808
-187664.878864,300,463.876044
-161496.259483,300,465.99728
-87872.261905,300,466.421601
-28922.663289,300,466.82264
-285347.633051,300,467.225807
-71996.12922,300,467.631687
-53786.680066,300,468.048234
-145923.085094,300,468.528758
-136990.776979,300,470.62578
-667708.829949,300,471.041756
-39798.307387,300,471.439768
-53371.138046,300,471.847475
-244690.476481,300,472.264878
-881653.498748,300,472.665799
-89269.335854,300,473.062025
-192966.809282,300,475.094052
-100994.012804,300,475.507453
-32931.010748,300,475.90895
-121065.461847,300,476.306295
-51783.997515,300,476.711922
-223563.548407,300,477.112382
-251482.401157,300,479.187886
-285169.751571,300,479.811617
-166384.946753,300,480.213898
-9800.52222,300,480.611128
-218870.924732,300,481.107185
-109470.433278,300,481.580235
-27937.042263,300,481.979727
-102940.83162,300,484.061373
-397292.392501,300,484.659057
-29285.637375,300,485.062283
-12806.680787,300,485.478105
-116583.932975,300,485.889095
-15548.019671,300,486.302462
-57998.838394,300,486.713627
-94066.928378,300,488.779258
-214575.397979,300,489.197922
-393562.696056,300,489.6055
-29263.408189,300,490.003243
-123719.162532,300,490.404167
-84886.862813,300,490.798011
-263396.184864,300,491.21154
-333144.732263,300,493.226869
-566664.19688,300,493.627125
-86457.498406,300,494.027761
-155349.945861,300,494.429718
-116125.644687,300,494.844738
-43457.194013,300,495.252852
-296556.028354,300,495.645829
-110522.260853,300,497.673196
-99383.900468,300,498.069936
-143150.792827,300,498.465051
-315898.663463,300,498.874964
-252068.671034,300,499.27601
-73147.585719,300,499.678064
-141149.973623,300,501.706387
-191001.123387,300,502.120683
-22000.049197,300,502.519166
-77376.627542,300,502.910126
-85607.284437,300,503.319902
-157363.822349,300,503.720651
-123419.396608,300,504.121252
-11328.466396,300,506.136808
-38710.343791,300,506.531156
-132063.673408,300,506.92747
-125821.110139,300,507.323535
-103102.37193,300,507.738142
-678824.701474,300,508.257699
-41449.148496,300,508.859231
-84412.113113,300,510.921256
-164483.771095,300,511.313045
-90787.106106,300,511.711145
-95806.315568,300,512.121162
-41731.308118,300,512.586081
-160664.058379,300,513.087162
-125762.436698,300,513.551924
-48467.066111,300,515.646574
-22789.392838,300,516.047078
-102325.100694,300,516.479649
-62119.811699,300,516.990785
-55477.016368,300,517.388577
-83526.588803,300,517.779554
-25461.892662,300,518.194609
-11252.624944,300,520.18516
-202160.531526,300,520.583979
-74762.671927,300,520.985411
-169944.316015,300,521.40995
-140981.568477,300,521.807281
-290094.347725,300,522.208355
-76009.760956,300,522.614554
-24143.016362,300,524.823922
-182323.669379,300,525.220835
-85708.111068,300,525.620401
-7606.964224,300,526.011735
-188033.132272,300,526.408128
-266102.186872,300,526.803699
-25570.848243,300,528.814821
-16326.283417,300,529.235461
-20574.993394,300,529.626668
-22948.078615,300,530.026587
-311371.060836,300,530.422014
-203802.556049,300,530.815935
-76984.806595,300,531.218958
-27551.883293,300,533.197084
-17130.989408,300,533.604568
-13118.255252,300,534.003756
-125974.903037,300,534.413512
-330258.396178,300,534.811657
-14345.754042,300,535.213583
-244667.988318,300,535.618694
-12777.939706,300,537.59593
-48927.501841,300,538.001936
-169525.768682,300,538.413757
-115115.576611,300,538.813843
-34665.615289,300,539.211479
-196129.775995,300,539.609138
-24740.347072,300,540.02236
-91303.648185,300,541.978554
-69331.139948,300,542.390951
-106588.224663,300,542.805077
-81458.975078,300,543.196578
-83069.996203,300,543.592696
-265047.943176,300,544.003809
-120470.865045,300,544.395427
-34289.941774,300,546.391227
-168238.718206,300,546.789861
-123622.420773,300,547.206489
-300997.805416,300,547.609998
-75265.691935,300,548.006866
-71717.888462,300,548.413378
-244269.564189,300,548.813786
-102970.781971,300,550.939023
-72835.077539,300,551.353624
-74973.763604,300,551.757485
-41660.75511,300,552.161261
-197134.783366,300,552.570358
-151222.110402,300,552.980888
-103099.07497,300,554.952744
-155204.52,300,555.359186
-156936.138136,300,555.764155
-85127.262925,300,556.161592
-55566.659887,300,556.558867
-124366.658895,300,556.971768
-64428.949856,300,557.369234
-152328.959519,300,559.453019
-52804.018042,300,559.971978
-174823.317324,300,560.384953
-90375.209206,300,560.779634
-86877.141543,300,561.173761
-31275.80154,300,561.587869
-70611.157842,300,561.98674
-20850.287598,300,563.96098
-11300.866452,300,564.374865
-136781.678447,300,564.772689
-9517.668392,300,565.162797
-74089.593774,300,565.561981
-70581.810357,300,565.972108
-27634.354954,300,566.362888
-50264.888098,300,568.373591
-191620.067558,300,568.785949
-145399.899747,300,569.178718
-114704.782008,300,569.576887
-45677.120702,300,570.003672
-177948.894373,300,570.662639
-14573.428611,300,571.207351
-15955.926467,300,573.186591
-9248.70107,300,573.590705
-134025.444326,300,573.987571
-70339.224765,300,574.385307
-182794.153344,300,574.834839
-122715.654162,300,575.229498
-17909.782964,300,575.627661
-82972.731747,300,577.835081
-124158.771998,300,578.421594
-72450.026755,300,578.81883
-191169.45966,300,579.214966
-85978.017532,300,579.623205
-199229.964641,300,580.021585
-229901.945767,300,581.990416
-25615.958718,300,582.39471
-102205.04381,300,582.791457
-267254.557433,300,583.242554
-119634.184537,300,583.645983
-71806.848994,300,584.059214
-191686.722283,300,584.468963
-92393.880824,300,586.489452
-57832.043341,300,586.889562
-57071.089421,300,587.284345
-77401.320701,300,587.683882
-26185.989866,300,588.09087
-30073.268123,300,588.486114
-79498.961999,300,588.87906
-175005.246134,300,590.892971
-104482.373788,300,591.288092
-64037.580106,300,591.678327
-318844.880999,300,592.074404
-98540.561966,300,592.477976
-63304.399036,300,592.8745
-11309.801912,300,593.278244
-32151.018088,300,595.279824
-37390.593211,300,595.67842
-108645.555115,300,596.073265
-12135.14082,300,596.47896
-178341.718851,300,596.874515
-78144.195648,300,597.272783
-46960.477565,300,597.669495
-80604.028536,300,599.752308
-14383.904905,300,600.159334
-52436.441599,300,600.567999
-129850.820745,300,600.986749
-103526.901367,300,601.384351
-124901.332587,300,601.808834
-53026.634551,300,603.83369
-189928.78958,300,604.255274
-159591.535586,300,604.657901
-266310.451762,300,605.05684
-66570.70412,300,605.473676
-50030.056118,300,605.885992
-68218.592632,300,606.294843
-104903.252595,300,608.36185
-57118.956148,300,608.76827
-49694.951118,300,609.17135
-68940.507829,300,609.577962
-98989.816535,300,609.978409
-60542.66823,300,610.387499
-69604.366855,300,610.794095
-145564.165258,300,612.84057
-105110.364783,300,613.243773
-81317.801354,300,613.65002
-255710.454652,300,614.067959
-7624.140074,300,614.466929
-105514.137683,300,614.873452
-89157.126173,300,615.28975
-21817.934133,300,617.338299
-77669.196101,300,617.736768
-108443.209626,300,618.134068
